link_id,diagnostic_package_id,filter_chip_id,display_order,group_id
2,6,8,1,
4,6,9,3,
5,7,8,1,
6,7,9,2,
7,7,10,3,
8,11,9,1,
9,,2,1,25
10,,2,1,28
11,,2,1,29
12,,2,1,32
13,,2,1,31
14,,2,1,30
15,,2,1,33
16,,2,1,36
17,,2,1,45
18,,2,1,46
19,,2,1,50
20,,4,1,37
21,,4,1,48
22,,5,1,34
23,,6,1,38
24,,6,1,39
25,,6,1,41
26,,6,1,42
27,,6,1,43
28,,6,1,44
29,11,11,2,
32,11,8,5,
33,13,8,1,
34,13,1,2,
35,13,14,3,
36,12,8,1,
37,12,14,2,
38,13,13,4,
39,13,12,5,
40,15,11,1,
41,15,14,2,
42,15,15,3,
43,15,8,4,
45,11,16,6,
46,11,17,7,
47,12,9,3,
48,12,16,4,
49,12,17,5,
51,14,1,1,
52,14,8,2,
53,14,11,3,
54,8,9,1,
55,8,8,2,
56,8,11,3,
57,8,13,4,
58,8,12,5,
59,9,8,1,
60,9,9,2,
61,9,14,3,
62,9,16,4,
63,9,13,5,
64,16,9,1,
65,16,12,2,
66,16,16,3,
67,20,9,1,
68,,4,1,77
69,,4,1,78
70,22,26,1,
71,22,21,2,
72,22,22,3,
73,22,23,4,
74,22,25,5,
75,22,27,6,
76,22,28,7,
77,22,24,8,
78,22,16,9,
79,22,29,10,
80,,4,1,82
81,,4,1,81
82,17,11,1,
83,17,9,2,
84,25,1,1,
85,25,24,2,
86,25,16,3,
87,25,13,4,
88,25,32,5,
89,25,33,6,
90,25,30,7,
91,25,31,8,
92,25,15,9,
93,25,14,10,
94,25,34,11,
95,,6,1,89
96,26,34,1,
97,26,30,2,
98,26,31,3,
99,26,32,4,
100,26,33,5,
101,26,13,6,
102,26,16,7,
103,26,24,8,
104,26,15,9,
105,26,1,10,
106,26,11,11,
