tag_id,diagnostic_package_id,tag_name,display_order
1,1,male,
2,1,fullbody,
30,6,Bio Age,
31,7,Bio Age,
32,7,Vitamins,
33,7,Metabolism,
35,7,Haematology,
36,7,Liver,
37,7,Kidney,
38,7,Heart,
39,7,Iron,
40,7,Thyroid,
41,7,Diabetes,
42,6,metabolism,
43,6,Haematology,
44,6,Liver,
45,6,Kidney,
46,6,Heart,
47,6,Iron,
48,6,Thyroid,
49,6,Diabetes,
55,11,Haematology,
56,11,Metabolism,
57,11,Liver,
58,11,Kidney,
59,11,Heart,
60,11,Bio-age,
61,11,Iron,
62,11,Thyroid,
63,11,Vitamins,
64,11,Sleep,
65,11,Immunity,
67,13,Cancer,
68,15,Allergies,
70,11,Hormones,
71,11,Muscle,
74,12,Bio Age,
75,12,Muscle,
76,12,Hormones,
77,12,Immunity,
78,12,Sleep,
79,12,Vitamins,
80,12,Diabetes,
81,12,Thyroid,
82,12,Iron,
83,12,Heart,
84,12,Kidney,
85,12,Liver,
86,12,Haematology,
87,12,Metabolism,
88,14,Cancer,
89,8,Immunity,
90,8,Sleep,
91,8,Vitamins,
92,8,Diabetes,
93,8,Thyroid,
94,8,Iron,
95,8,Heart,
96,8,Kidney,
97,8,Liver,
98,8,Bio Age,
99,8,Metabolism,
100,8,Haematology,
101,9,Bio Age,
102,9,Metabolism,
103,9,Haematology,
104,9,Liver,
105,9,Kidney,
106,9,Heart,
107,9,Iron,
108,9,Thyroid,
109,9,Diabetes,
110,9,Vitamins,
111,9,Sleep,
112,9,Immunity,
113,16,genz,
114,16,energy,
115,16,hormones,
116,16,sleep,
117,16,fitness,
118,16,stress,
119,16,metabolism,
120,16,deficiencies,
121,16,preventive,
122,16,lifestyle,
123,20,Bio Age,
124,20,Metabolism,
125,20,Haematology,
126,20,Liver,
127,20,Kidney,
128,20,Heart,
129,20,Iron,
130,20,Thyroid,
131,20,Diabetes,
132,20,Circulatory System,
133,22,Stress Balance,
134,22,Heart,
135,22,Blood Health,
136,22,Insulin Resistance,
137,22,Metabolism,
138,22,Thyroid Function,
139,22,Ovulation Health,
140,22,PCOS Risk,
141,22,Hormones,
142,22,Menstrual Health,
143,25,Nutrition,
144,25,Cancer Risk Screening,
145,25,Inflammation,
146,25,Immunity & Allergies,
147,25,Blood Health,
148,25,Bone Health,
149,25,Insulin Resistance,
150,25,Bio Age,
151,25,Heart,
152,25,Advanced Cardiac Risk,
153,25,Liver,
154,25,Kidney,
155,25,Hormones,
156,25,Metabolism,
157,26,Nutrition,
158,26,Cancer Risk Screening,
159,26,Inflammation,
160,26,Immunity & Allergies,
161,26,Blood Health,
162,26,Bone Health,
163,26,Insulin Resistance,
164,26,Metabolism,
165,26,Hormones,
166,26,Bio Age,
167,26,Heart,
168,26,Advanced Cardiac Risk,
169,26,Kidney,
170,26,Liver,
